sku_id,SKU,Schedule,Size,Length,Origin
1,CN - sch40 - 1/2 - 10ft,40,1/2,10,CN
2,CN - sch40 - 3/4 - 10ft,40,3/4,10,CN
3,CN - sch40 - 1 - 10ft,40,1,10,CN
4,CN - sch40 - 1. 1/4 - 10ft,40,1. 1/4,10,CN
5,CN - sch40 - 1 1/2 - 10ft,40,1 1/2,10,CN
6,CN - sch40 - 2 - 10ft,40,2,10,CN
7,CN - sch40 - 3 - 10ft,40,3,10,CN
8,CN - sch40 - 4 - 10ft,40,4,10,CN
9,CN - sch40 - 5 - 10ft,40,5,10,CN
10,CN - sch40 - 6 - 10ft,40,6,10,CN
11,CN - sch40 - 2 - 20ft,40,2,20,CN
12,CN - sch40 - 3 - 20ft,40,3,20,CN
13,CN - sch40 - 4 - 20ft,40,4,20,CN
14,CN - sch40 - 2 1/2 - 20ft,40,2 1/2,20,CN
15,CN - sch40 - 1 1/2 - 20ft,40,1 1/2,20,CN
16,CN - sch40 - 2 - 20ft,40,2,20,CN
17,CN - sch40 - 2 1/2 - 20ft,40,2 1/2,20,CN
18,CN - sch40 - 3 - 20ft,40,3,20,CN
19,CN - sch40 - 4 - 20ft,40,4,20,CN
20,CN - sch40 - 1/2 - 10ft,40,1/2,10,CN
21,CN - sch40 - 3/4 - 10ft,40,3/4,10,CN
22,CN - sch40 - 1 - 10ft,40,1,10,CN
23,CN - sch40 - 1 1/4 - 10ft,40,1. 1/4,10,CN
24,CN - sch40 - 1 1/2 - 10ft,40,1 1/2,10,CN
25,CN - sch40 - 2 - 10ft,40,2,10,CN
26,CN - sch40 - 3 - 10ft,40,3,10,CN
27,CN - sch40 - 4 - 10ft,40,4,10,CN
28,CN - sch40 - 5 - 10ft,40,5,10,CN
29,CN - sch40 - 6 - 10ft,40,6,10,CN
30,CN - sch40 - 2 - 20ft,40,2,20,CN
31,CN - sch40 - 3 - 20ft,40,3,20,CN
32,CN - sch40 - 4 - 20ft,40,4,20,CN
33,CN - sch40 - 2.5 - 20ft,40,2.5,20,CN
34,CN - sch40 - 1.5 - 20ft,40,1.5,20,CN
35,CN - sch40 - 2 - 20ft,40,2,20,CN
36,CN - sch40 - 2 1/2 - 20ft,40,2 1/2,20,CN
37,CN - sch40 - 3 - 20ft,40,3,20,CN
38,CN - sch40 - 4 - 20ft,40,4,20,CN
39,SA - sch40 - 1/2 - 10ft,40,1/2,10,SA
40,SA - sch40 - 3/4 - 10ft,40,3/4,10,SA
41,SA - sch40 - 1 - 10ft,40,1,10,SA
42,SA - sch40 - 1. 1/4 - 10ft,40,1. 1/4,10,SA
43,SA - sch40 - 1 1/2 - 10ft,40,1 1/2,10,SA
44,SA - sch40 - 2 - 10ft,40,2,10,SA
45,SA - sch40 - 3 - 10ft,40,3,10,SA
46,SA - sch40 - 4 - 10ft,40,4,10,SA
47,SA - sch40 - 5 - 10ft,40,5,10,SA
48,SA - sch40 - 6 - 10ft,40,6,10,SA
49,SA - sch40 - 2 - 20ft,40,2,20,SA
50,SA - sch40 - 3 - 20ft,40,3,20,SA
51,SA - sch40 - 4 - 20ft,40,4,20,SA
52,SA - sch40 - 2 1/2 - 20ft,40,2 1/2,20,SA
53,SA - sch40 - 1 1/2 - 20ft,40,1 1/2,20,SA
54,SA - sch40 - 2 - 20ft,40,2,20,SA
55,SA - sch40 - 2 1/2 - 20ft,40,2 1/2,20,SA
56,SA - sch40 - 3 - 20ft,40,3,20,SA
57,SA - sch40 - 4 - 20ft,40,4,20,SA
58,SA - sch40 - 1/2 - 10ft,40,1/2,10,SA
59,SA - sch40 - 3/4 - 10ft,40,3/4,10,SA
60,SA - sch40 - 1 - 10ft,40,1,10,SA
61,SA - sch40 - 1. 1/4 - 10ft,40,1. 1/4,10,SA
62,SA - sch40 - 1 1/2 - 10ft,40,1 1/2,10,SA
63,SA - sch40 - 2 - 10ft,40,2,10,SA
64,SA - sch40 - 3 - 10ft,40,3,10,SA
65,SA - sch40 - 4 - 10ft,40,4,10,SA
66,SA - sch40 - 5 - 10ft,40,5,10,SA
67,SA - sch40 - 6 - 10ft,40,6,10,SA
68,SA - sch40 - 2 - 20ft,40,2,20,SA
69,SA - sch40 - 3 - 20ft,40,3,20,SA
70,SA - sch40 - 4 - 20ft,40,4,20,SA
71,SA - sch40 - 2.5 - 20ft,40,2.5,20,SA
72,SA - sch40 - 1.5 - 20ft,40,1.5,20,SA
73,SA - sch40 - 2 - 20ft,40,2,20,SA
74,SA - sch40 - 2 1/2 - 20ft,40,2 1/2,20,SA
75,SA - sch40 - 3 - 20ft,40,3,20,SA
76,SA - sch40 - 4 - 20ft,40,4,20,SA